"""ADAM, International Review"""
"""Alambic, revue des jeunes"""
Alliance culturelle romande
Aujourd'hui
Botteghe oscure
Bulletin des anciens élèves du collège de Nyon
Bulletin joie et travail
"""Cahiers du Sud, """"Images de la Suisse"""""""
Cahiers Gustave Roud
"""Cahiers vaudois, """"Poèmes et nouvelles"""""""
Carreau
Conférence
Construire
Courants
Dialogue
Écolier romand
Économie
Écriture
Études de Lettres
Europe
Feuille centrale de Zofingue
Feuille d'Avis de Lausanne
Feuille d'Avis de Vevey
Feuille d'Avis du district d'Aigle
Formes et couleurs
Gazette de Beau-Site
Gazette de Lausanne
Horizon
Illustré
Jeunesse
Joie. Journal pour les étudiants de la Suisse romande
Journal de Genève
Journal de la Maison Charles Veillon
Journal de Payerne
Journal de Sierre et du Valais central
Journal et Feuille d'Avis du Valais et de Sion
L'Alphée
L'Année hippique
L'Écho de la Broye
L'Éducateur
L'Impartial
La Flamme
La Gazette littéraire
La Guilde du Livre
La Liberté
La Nouvelle Nouvelle Revue Française
La Nouvelle Revue de Lausanne
La Nouvelle Revue Française
La Nouvelle Revue romande
La Nouvelle Semaine artistique et littéraire
La Révolution d'Agaune
La Revue
"""La Revue du dimanche, supplément hebdomadaire de La Revue de Lausanne"""
La Revue romande
La Semaine de la femme
La Semaine littéraire
La Tribune de Lausanne
Labyrinthe
Le Courrier de Berne
Le Courrier de la Broye et du Jorat
Le Courrier de La Plata
Le Démocrate et Feuille d'Avis du district de Payerne
Le Dragon romand
Le Journal de Genève
Le Messager social
Le Radio
Le Semeur Vaudois
Le Sillon Romand
Le Thyrse
Lectures du foyer
Les Cahiers du soleil
Les Échos de Saint-Maurice
Lesebuch schweizerischer Dichtung
Lettres
"""Librarium, Revue de la Société suisse des bibliophiles"""
Matulu
Mesures
National Zeitung
Neue Zürcher Nachrichten
Neue Zürcher Zeitung
Organe de l'Association romande du personnel de la librairie et de l'édition (ARPLE)
Organe de l'association romande du personnel de la librairie et de l'édition (ARPLE)
Orte
Pages
Papillons
Pays du Lac
Perspectives
Poésie suisse romande
Pour l'Art
Pour tous
Présence
Réforme
Rencontre
Repères
Revue de Belles-Lettres
Revue de l'Édition
Revue de Montana-Vermala
Revue de Suisse
Revue des PTT
Revue neuchâteloise
"""Samedi littéraire (Journal de Genève, Gazette de Lausanne)"""
Schweizer Annalen / Annales suisses
"""Schweizer Kunst, Art Suisse, Arte Svizzera"""
Schweizer Monatsschrift
Semeur vaudois
Servir
Solaire
Sonntagspost
Suisse contemporaine
Suisse romande
Treize étoiles
Tribune de Genève
Tribune de Lausanne
Vie
Vie Art Cité
Voix des lettres
"""Zofingia, Centralblatt des Schweizerischen Zofingervereins"""
